question|answer
"The best professor, 10/10 recommend. I actually go to class even though it was not mandatory."| "1.0, -1.0"
"When people said Professor Polze is the best professor they have taken, I wanted to experience his class for myself. When he teaches, you can tell he loves being up there, finding ways to connect to students or break down concepts very easily. He made BLAW more enjoyable for me and in the process gave some key takeaways about life with an impact."| "1.0, 0.5"
"Polze is probably the best professor I have ever taken. Just show up to class and the 3 exams will be cake. No extra credit but it shouldn't be needed."| "1.0, 0.5"
"Hands-down best professor at UTD. Caring and respectful, he finds a way to make each lecture engaging and the discussions in class were thought-provoking."| "1.0, 0.5"
"The way I figured out how to get higher scores on writing assignments is to include more art and be creative and unique. He reads off a slideshow but makes up for it with plenty of commentary. I ended up super satisfied, so I highly recommend Mr. Polze."| "1.0, -0.0"
"Professor Polze is amazing, great, awesome, cool, wonderful, perfect, extraordinary, marvelous, miraculous, spectacular, stupendous, terrific, fabulous, outstanding, and phenomenal. Best professor at UTD. He goes above and beyond for his students."| "1.0, -0.5"
"Polze will go the extra mile to make you feel engaged with the content of the class. Highly recommend him. Makes me feel like I am at home."| "1.0, 1.0"
"Amazing lectures and genuinely cares about his students. As long as you attend his lectures and take some notes, you'd do fine on the exams. There are three online exams and one writing assignment."| "1.0, 1.0"
"I hate school, but I genuinely loved Polze's class. He is such a great lecturer and person. He tries really hard to keep you engaged the whole time and his jokes are hilarious. Tests are online open note, the first one was the hardest. Don't skip class because he always hints at test questions."| "1.0, -0.0"
"Professor Polze is officially the best professor and teacher I've ever had. He's is ridiculously funny, and brings smiles to everyone's faces. He's a great role model. Tests are open note and online. No group projects, only a couple of easy essays. I'm considering going into law because of Prof. P. Can't be enough said about how fantastic he is!"| "1.0, 1.0"
"I can't say enough good things about Polze! This class definitely wasn't easy, but it pushed me in a good way. The quality of work I produced was so much better at the end of the semester compared to the start. Just do your work, and you'll get a good grade. His lectures are very engaging, and he cares so much about every single student!"| "1.0, -0.5"
"Professor Polze was genuinely one of the healthiest influences in my life. He teaches you about law but also tries to teach you how to be better- period. His first 1 or 2 grades will be low- but that only those. He is a charismatic, sophisticated, disciplined role model that is more inspirational than anyone I have ever met. Take him."| "1.0, -0.0"
"Please do yourself a huge favor and take Professor Polze's class. I have never enjoyed a class as much as I enjoyed his. You can tell this mans passions lay in teaching. every day is exciting and fun. On top of that, the tests are open-book and pretty easy as long as you pay attention to the presentation."| "1.0, 0.5"
"Best professor/teacher I've ever had - knows everything and teaches it well. Always go to lectures and write down the examples he uses. For writing assignments, show him drafts during office hours so he can edit them. Also a great person to talk to for personal advice - the sole reason I made it through the semester even though it was really hard!"| "1.0, -0.5"
"Polze might be the best professor in the school. Amazing lectures and funny stories made going to class a much easier decision. Not the easiest class ever, but he tries his best to help everyone out. Writing assignments are easy once you realize they aren't about writing, but creativity. Absolute 10/10."| "1.0, -0.0"
"Best teacher ever. He makes class fun and interesting. 1 writing assignment and 3 exams. Exams are open book and open notes. You don't even have to study for them to get an A."| "1.0, 1.0"
"Professor Polze is the type of professor you will remember years after taking and recall his class with excitement and gratitude. His assignments are challenging but designed to push you forwards, and he goes out of his way to be accessible. If you have the chance to take his class, I cannot recommend it enough."| "1.0, -0.0"
"If you have the choice to take this professor, just do it. He makes you want to come to class. Sometimes the lecture material is very dry, but he really tells interesting stories to engage the class. He really cares about all his students and its readily apparent. He is always available and super knowledgable and just wants to see you succeed!"| "1.0, 0.5"
"Absolutely amazing professor. Exams are online and open-book, not many other graded things besides the exams, but you'll be fine as long as you take notes and listen to his lectures. His lectures are fun to listen to and participate in. He does his best to get students involved and is a genuine guy. Take him if you can!!"| "1.0, 0.5"
"I got a D in this class -- and I know it wasn't due to a lack of effort or intelligence because I got an A when I retook the class with a different professor. All of his assignments were writing-based, and his approach to grading them was absurd. His standards were arbitrary, his feedback was nonsensical, and figuring him out was impossible."| "-1.0, -1.0"
"I came to class 4 minutes late and she marked me absent but she marked other people present that came 10+ minutes late, she calls people out pls dont take if you love yourself."| "-1.0, 0.5"
"Overly strict for no reason. Kind of a rude teacher and has a lot of attitude. Not engaging. Very nit-picky on CS code which isn't even related to the code itself but the comments. No earbuds, if you get caught wearing earbuds you will get called out in front of the whole class and even risk being absent. The assigned seats thing is very childish."| "-1.0, -0.5"
"creepy smile, do not take if you want a free grade"| "-1.0, -1.0"
"Professor Thompson's class is challenging but engaging. Attendance is mandatory, and the exams focus heavily on coding, so studying the textbook and using tools like Unstuckstudy for practice are key to success. Overall, a worthwhile course if you're willing to put in the work."| "0.0, -0.5"
"Tough grader, not kind to students"| "-1.0, -1.0"
"Horrible, do not take."| "-1.0, -1.0"
"This is the toughest grader ever, she will nitpick you with every little mistake that has nothing to do with the code and mainly with the Code Comments like it's an English class. You will lose points if you forget a single space or tab."| "-1.0, -1.0"
"Overall, she is kind and respectful at times but also strict and treats students like highschool, no earbuds during lectures or she will yell at you. She is very nitpicky when it comes to programing style guideline. Oh, you forget a single space? Minus points. You forget a single tab? Minus Points. Hardly ever getting 100 in lab..."| "-0.5, -1.0"
"Thought she was gonna be great, but she proved me wrong.After a month she made a seating chart on the one day I wasn't in class.She marked me absent for the next class after that just because I wasn't in the right seat (that I didn't choose) even though she talked to me during attendence.I just completely stopped going to class and still got a B..."| "-0.5, -0.0"
"Do not take this professor: very exam heavy and lecture heavy. Teaches materials less than a week before exam and has seating charts."| "-1.0, -1.0"
